,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
0,76001,43,6.7,1.3,0.474,0.0,0.0,0.6,0.568,2.1,0.3,0.1,0.3,3.1
1,76002,29,28.9,4.3,0.363,,,2.3,0.642,13.0,1.1,,,11.0
2,76003,82,43.1,11.4,0.518,,,5.9,0.653,14.5,4.1,,,28.8
3,51,67,22.5,6.2,0.413,0.4,0.24,1.3,0.857,1.8,3.1,0.8,0.1,14.1
4,1505,59,16.3,2.4,0.403,0.1,0.211,1.4,0.672,2.0,0.9,0.6,0.2,6.4
5,949,80,35.0,6.9,0.453,0.1,0.259,4.8,0.746,6.9,2.2,1.0,1.0,18.7
6,76005,70,19.7,2.4,0.484,,,1.4,0.754,4.2,1.4,0.7,0.1,6.3
7,76006,1,1.0,0.0,0.0,,,0.0,,1.0,1.0,,,0.0
8,76007,47,,4.3,0.242,,,2.6,0.691,,0.7,,,11.2
9,203518,68,15.5,2.0,0.393,1.4,0.381,0.6,0.898,1.3,0.6,0.5,0.1,6.0
10,101165,5,7.0,0.8,0.25,0.2,0.2,0.0,0.0,1.0,0.8,0.2,0.0,1.8
11,76008,28,7.9,0.5,0.222,,,0.5,0.536,0.5,0.8,,,1.5
12,76009,79,14.6,1.4,0.532,0.0,0.0,0.9,0.64,3.4,0.5,0.4,0.3,3.6
13,76010,23,8.5,1.3,0.392,,,0.8,0.655,2.0,0.5,,,3.3
14,203112,29,11.8,1.4,0.56,0.0,0.5,1.1,0.816,2.7,0.4,0.4,0.5,4.0
15,76011,80,33.2,7.9,0.469,,,3.3,0.735,9.1,5.6,1.5,1.5,19.0
16,76012,82,29.0,4.8,0.409,,,1.9,0.731,7.1,2.1,,,11.4
17,200801,61,8.1,1.2,0.556,0.0,0.0,0.4,0.667,1.3,0.2,0.3,0.1,2.9
18,203919,30,8.3,1.2,0.407,0.3,0.4,0.5,0.609,0.9,0.5,0.5,0.2,3.1
19,149,18,7.7,0.9,0.364,0.0,0.0,0.4,0.667,0.3,1.2,0.5,0.1,2.2
20,203500,81,14.8,1.1,0.503,0.0,0.0,1.0,0.581,4.1,0.5,0.5,0.7,3.3
21,912,62,11.5,2.4,0.441,0.3,0.32,0.8,0.797,1.7,0.7,0.4,0.1,5.8
22,1628389,69,19.8,2.5,0.512,0.0,0.0,1.9,0.721,5.5,1.5,0.5,0.6,6.9
23,76015,77,18.8,2.3,0.394,,,1.7,0.642,2.8,3.1,,,6.3
24,202399,23,8.5,1.0,0.426,0.0,0.0,0.5,0.579,2.5,0.4,0.2,0.2,2.5
25,201167,75,12.9,1.3,0.411,0.1,0.208,0.9,0.782,1.8,0.7,0.4,0.1,3.7
26,200772,32,6.7,0.7,0.314,0.2,0.333,0.6,0.606,0.7,0.2,0.1,0.1,2.2
27,76016,51,28.8,7.5,0.465,0.5,0.352,3.3,0.68,4.9,3.2,0.7,0.4,18.7
28,201336,12,14.8,1.3,0.263,0.8,0.294,2.5,0.968,1.6,1.6,0.5,0.0,5.8
29,76017,53,10.6,1.5,0.357,0.1,0.294,1.1,0.862,1.1,1.6,0.7,0.1,4.1
30,201582,31,5.9,0.8,0.362,0.0,0.0,0.6,0.714,1.0,0.1,0.2,0.2,2.3
31,76018,50,9.1,1.7,0.361,,,0.5,0.703,2.4,0.5,,,3.8
32,203006,3,2.9,0.7,0.5,0.3,0.5,0.0,0.0,0.3,0.3,0.0,0.0,1.7
33,202374,12,4.9,0.3,0.2,0.0,0.0,0.0,0.0,1.2,0.2,0.2,0.2,0.5
34,76019,64,17.3,3.4,0.49,0.0,0.222,1.0,0.663,3.3,1.2,0.3,0.4,7.9
35,76020,58,11.6,1.6,0.292,,,0.8,0.571,4.8,0.4,,,4.0
36,203128,41,13.2,1.0,0.513,0.0,0.0,0.3,0.481,4.3,0.7,0.4,0.4,2.3
37,202332,18,7.9,0.4,0.533,0.0,0.0,0.1,0.5,1.9,0.2,0.3,0.4,1.0
38,200746,63,22.1,3.8,0.503,0.0,0.0,1.3,0.722,5.0,0.4,0.3,1.2,9.0
39,76021,74,15.1,2.2,0.478,0.0,0.0,0.7,0.733,3.6,0.5,0.2,0.2,5.1
40,1626146,8,4.5,0.6,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.1,0.3,1.3
41,724,60,9.3,1.1,0.406,0.4,0.394,0.3,0.64,0.7,2.0,0.5,0.0,2.8
